WO #,Client,Status,Status_Category,State,Category,Order Type,Priority,DNE,Vendor NTE,Grand Total,Labor Amt,Material Amt,Vendor Invoice Total,Vendor_Code,Vendor,NTE_Category,Invoice_Date,Has_Vendor_Invoice,Revenue_Match,Cost_Match,Profit_Margin,Manager
100207,Client A,Invoiced,1_Completed_Paid,IL,"Doors, Frames & Hardware",Door Hardware,Normal - 30 days ,536.17,426.00,536.17,345.00,136.17,426.00,Vendor 012,Vendor 012,Under NTE,5/12/2025,YES,Match,Match,110.17,Manager 03
100210,Client B,Invoiced,1_Completed_Paid,CA,"Doors, Frames & Hardware",Door Hardware,Priority 1 - 4 hours,2663.30,2170.00,2663.30,1900.00,668.30,2170.00,Vendor 013,Vendor 013,Over NTE,5/8/2025,YES,Match,Match,493.30,Manager 04
100215,Client A,Invoiced,1_Completed_Paid,IL,Plumbing,Sink Repair,Normal - 30 days ,300.72,225.00,300.72,220.00,25.72,225.00,Vendor 012,Vendor 012,Under NTE,5/12/2025,YES,Match,Match,75.72,Manager 03
100219,Client B,Invoiced,1_Completed_Paid,CA,Applicances,Coffee Machines,Priority 3 - 48 hours,723.78,614.00,723.78,170.00,228.78,614.00,Vendor 014,Vendor 014,Under NTE,5/6/2025,YES,Match,Match,109.78,Manager 04
100222,Client A,Invoiced,1_Completed_Paid,TX,Ceiling Repairs,General Ceiling Repairs,Normal - 30 days ,243.75,162.95,263.86,148.75,10.00,162.95,Vendor 015,Vendor 015,Under NTE,5/14/2025,YES,Different,Match,100.91,Manager 03
100227,Client A,Invoiced,1_Completed_Paid,IL,"Doors, Frames & Hardware",General Door Repairs,Urgent - 24-48 hours,385.00,315.00,385.00,330.00,0.00,315.00,Vendor 012,Vendor 012,Under NTE,5/12/2025,YES,Match,Match,70.00,Manager 03
100228,Client A,Invoiced,1_Completed_Paid,TX,Handyman,Handyman General,Normal - 30 days ,189.44,135.00,189.44,105.00,0.00,135.00,Vendor 015,Vendor 015,Under NTE,5/19/2025,YES,Match,Match,54.44,Manager 03
100229,Client B,Complete No Charge,1_Completed_Paid,VA,Applicances,Food Equipment,Priority 3 - 48 hours,1000.00,0.00,0.00,0.00,0.00,,,,Under NTE,,NO,Different,Match,,Manager 05
100231,Client A,Invoiced,1_Completed_Paid,IL,Applicances,Food Equipment,Normal - 30 days ,275.00,212.00,275.00,236.25,8.75,212.00,Vendor 012,Vendor 012,Under NTE,5/16/2025,YES,Match,Match,63.00,Manager 03
100237,Client A,Invoiced,1_Completed_Paid,IL,Painting,Painting Interior,Normal - 30 days ,285.00,241.00,285.00,210.00,42.56,241.00,Vendor 012,Vendor 012,Under NTE,5/13/2025,YES,Match,Match,44.00,Manager 03
100238,Client A,Invoiced,1_Completed_Paid,TX,Splash Pads,Splash Pads General,Regular,1591.28,1125.00,1591.28,750.00,720.00,1125.00,Vendor 002,Vendor 002,Over NTE,5/20/2025,YES,Match,Match,466.28,Manager 02
100275,Client A,Invoiced,1_Completed_Paid,IL,Handyman,Handyman General,Normal - 30 days ,333.00,220.00,250.00,210.00,15.00,220.00,Vendor 012,Vendor 012,Under NTE,5/27/2025,YES,Different,Match,30.00,Manager 03
100276,Client A,Invoiced,1_Completed_Paid,IL,"Doors, Frames & Hardware",Door Hardware,Normal - 30 days ,372.00,257.00,372.00,210.00,57.00,257.00,Vendor 012,Vendor 012,Under NTE,5/27/2025,YES,Match,Match,115.00,Manager 03
100277,Client A,Invoiced,1_Completed_Paid,IL,Plumbing,Sink Repair,Urgent - 24-48 hours,340.00,227.00,340.00,210.00,25.00,227.00,Vendor 012,Vendor 012,Under NTE,5/27/2025,YES,Match,Match,113.00,Manager 03
100285,Client B,Invoiced,1_Completed_Paid,TX,"Glass, Windows, and Mirrors",Replacement,Priority 2 - 24 hours,13354.86,10916.45,13354.86,4335.00,7189.55,10916.45,Vendor 016,Vendor 016,Over NTE,6/30/2025,YES,Match,Match,2438.41,Manager 05
100286,Client A,Invoiced,1_Completed_Paid,IL,Pressure Washing,Pressure Washing ,Urgent - 24-48 hours,1155.00,735.00,1155.00,945.00,0.00,735.00,Vendor 012,Vendor 012,Over NTE,5/30/2025,YES,Match,Match,420.00,Manager 03
100289,Client A,Declined,5_Rejected_Cancelled,TX,HVAC,HVAC Replacement,Urgent - 24-48 hours,750.00,0.00,0.00,0.00,0.00,,,,Under NTE,,NO,Different,Match,,Manager 03
100291,Client A,Invoiced,1_Completed_Paid,IL,Painting,Painting General,Normal - 30 days ,318.00,232.00,318.00,220.00,48.00,232.00,Vendor 012,Vendor 012,Under NTE,5/27/2025,YES,Match,Match,86.00,Manager 03
100293,Client A,Invoiced,1_Completed_Paid,IL,Electrician,Lighting General,Normal - 30 days ,1548.55,977.00,1548.55,880.00,508.55,977.00,Vendor 012,Vendor 012,Over NTE,6/10/2025,YES,Match,Match,571.55,Manager 03
100294,Client A,Invoiced,1_Completed_Paid,IL,Playground Repairs,Playground Equipment,Normal - 30 days ,1148.50,740.00,1148.50,420.00,518.50,740.00,Vendor 012,Vendor 012,Over NTE,6/29/2025,YES,Match,Match,408.50,Manager 03
100304,Client A,Complete No Charge,1_Completed_Paid,TX,Irrigation,Irrigation General,Normal - 30 days ,0.00,0.00,0.00,0.00,0.00,,,,Under NTE,,NO,Match,Match,,Manager 03
100310,Client A,Invoiced,1_Completed_Paid,IL,Ceiling Repairs,General Ceiling Repairs,Normal - 30 days ,378.00,245.00,378.00,220.00,48.00,245.00,Vendor 012,Vendor 012,Under NTE,5/27/2025,YES,Match,Match,133.00,Manager 03
100315,Client B,Invoiced,1_Completed_Paid,TX,HVAC,HVAC Repairs,Priority 2 - 24 hours,7867.61,6760.23,7867.61,1600.00,5278.00,6760.23,Vendor 017,Vendor 017,Over NTE,6/2/2025,YES,Match,Match,1107.38,Manager 04
100319,Client B,Invoiced,1_Completed_Paid,CA,Awnings,Fuel Island,Priority 3 - 48 hours,4869.28,4068.36,4869.28,2Client A.5,1876.33,4068.36,Vendor 018,Vendor 018,Over NTE,6/2/2025,YES,Match,Match,800.92,Manager 05
100324,Client A,Invoiced,1_Completed_Paid,IL,"Doors, Frames & Hardware",General Door Repairs,Normal - 30 days ,315.00,210.00,315.00,315.00,0.00,210.00,Vendor 012,Vendor 012,Under NTE,5/27/2025,YES,Match,Match,105.00,Manager 03
100329,Client B,Invoiced,1_Completed_Paid,CA,"Glass, Windows, and Mirrors","Glass, Windows, and Mirrors - General Repairs",Priority 2 - 24 hours,12812.16,10771.50,12812.16,5890.00,5711.84,10771.50,Vendor 019,Vendor 019,Over NTE,8/31/2025,YES,Match,Match,2040.66,Manager 06
100330,Client A,Invoiced,1_Completed_Paid,IL,Fences and Gates,Fence and Gates General,Normal - 30 days ,716.80,470.00,716.80,550.00,98.00,470.00,Vendor 012,Vendor 012,Under NTE,5/31/2025,YES,Match,Match,246.80,Manager 03
100331,Client A,Invoiced,1_Completed_Paid,IL,Handyman,General,Normal - 30 days ,474.90,347.00,474.90,385.00,44.00,347.00,Vendor 012,Vendor 012,Under NTE,5/30/2025,YES,Match,Match,127.90,Manager 03
100332,Client A,Invoiced,1_Completed_Paid,IL,Fences and Gates,Fence and Gates General,Normal - 30 days ,525.00,210.00,525.00,420.00,0.00,210.00,Vendor 012,Vendor 012,Under NTE,5/27/2025,YES,Match,Match,315.00,Manager 03
100343,Client B,Complete No Charge,1_Completed_Paid,TX,Applicances,Freezers,Priority 1 - 4 hours,1000.00,0.00,0.00,0.00,0.00,,Vendor 014,Vendor 014,Under NTE,,NO,Different,Match,,Manager 04
100348,Client A,Invoiced,1_Completed_Paid,IL,Drywall,Drywall,Normal - 30 days ,391.20,343.00,391.20,315.00,37.00,343.00,Vendor 012,Vendor 012,Under NTE,5/30/2025,YES,Match,Match,48.20,Manager 03
100357,Client A,Invoiced,1_Completed_Paid,IL,Electrician,Lighting General,Normal - 30 days ,244.50,212.00,244.50,210.00,6.00,212.00,Vendor 012,Vendor 012,Under NTE,5/30/2025,YES,Match,Match,32.50,Manager 03
100358,Client A,Declined,5_Rejected_Cancelled,IL,Plumbing,Sink Repair,Urgent - 24-48 hours,150.00,0.00,0.00,0.00,0.00,,,,Under NTE,,NO,Different,Match,,Manager 03
100363,Client B,Invoiced,1_Completed_Paid,CA,Handyman,Handyman General,Priority 1 - 4 hours,3937.50,3134.87,3937.50,2850.00,725.00,3134.87,Vendor 018,Vendor 018,Over NTE,5/30/2025,YES,Match,Match,802.63,Manager 05
100388,Client B,Invoiced,1_Completed_Paid,TX,Drywall,Drywall,Priority 2 - 24 hours,10169.01,7000.00,10169.01,6384.00,2725.00,7000.00,Vendor 020,Vendor 020,Over NTE,6/5/2025,YES,Match,Match,3169.01,Manager 04
100389,Client B,Invoiced,1_Completed_Paid,TN,Applicances,Refrigerators,Priority 1 - 4 hours,6437.05,5439.86,6437.05,1280.00,4613.05,5439.86,Vendor 021,Vendor 021,Over NTE,7/1/2025,YES,Match,Match,997.19,Manager 07
100392,Client A,Invoiced,1_Completed_Paid,IL,Handyman,Handyman General,Normal - 30 days ,302.50,251.00,302.50,220.00,51.36,251.00,Vendor 012,Vendor 012,Under NTE,6/10/2025,YES,Match,Match,51.50,Manager 03
100394,Client A,Invoiced,1_Completed_Paid,IL,Plumbing,Toilet Repair,Normal - 30 days ,266.80,225.00,266.80,220.00,18.00,225.00,Vendor 012,Vendor 012,Under NTE,6/8/2025,YES,Match,Match,41.80,Manager 03
100397,Client A,Invoiced,1_Completed_Paid,IL,Handyman,Handyman General,Normal - 30 days ,246.00,215.00,246.00,210.00,10.00,215.00,Vendor 012,Vendor 012,Under NTE,5/31/2025,YES,Match,Match,31.00,Manager 03
100400,Client B,Invoiced,1_Completed_Paid,CA,Misc Site Work,Interior Misc Site Work,Priority 3 - 48 hours,6080.50,5510.00,6080.50,4053.00,977.50,5510.00,Vendor 018,Vendor 018,Over NTE,8/31/2025,YES,Match,Match,570.50,Manager 06
100409,Client B,Invoiced,1_Completed_Paid,TX,Applicances,Food Equipment,Priority 2 - 24 hours,1510.27,1277.00,1510.27,640.00,475.39,1277.00,Vendor 014,Vendor 014,Over NTE,6/17/2025,YES,Match,Match,233.27,Manager 04
100412,Client B,Invoiced,1_Completed_Paid,TN,Applicances,Coke Machines,Priority 1 - 4 hours,13009.82,18480.02,13009.82,1900.00,10574.84,18480.02,Vendor 021,Vendor 021,Over NTE,11/30/2025,YES,Match,Match,-5470.20,Manager 05
100415,Client A,Invoiced,1_Completed_Paid,IL,Plumbing,Sink Repair,Urgent - 24-48 hours,341.70,291.00,341.70,210.00,97.00,291.00,Vendor 012,Vendor 012,Under NTE,5/31/2025,YES,Match,Match,50.70,Manager 03
100417,Client A,Invoiced,1_Completed_Paid,TX,"Doors, Frames & Hardware",General Door Repairs,Normal - 30 days ,487.82,325.00,487.82,345.00,75.64,325.00,Vendor 022,Vendor 022,Under NTE,6/22/2025,YES,Match,Match,162.82,Manager 03
100434,Client A,Invoiced,1_Completed_Paid,IL,Plumbing,Faucet Repairs,Normal - 30 days ,381.00,209.00,381.00,275.00,0.00,209.00,Vendor 012,Vendor 012,Under NTE,6/16/2025,YES,Match,Match,172.00,Manager 03
100438,Client A,Invoiced,1_Completed_Paid,TX,Splash Pads,Splash Pad Maintenance,Normal - 30 days ,811.88,600.00,811.88,700.00,50.00,600.00,Vendor 002,Vendor 002,Under NTE,6/30/2025,YES,Match,Match,211.88,Manager_Unknown
100445,Client A,Invoiced,1_Completed_Paid,TX,HVAC,HVAC Scheduled Maintenance,Normal - 30 days ,1461.38,1135.00,1461.38,1200.00,150.00,1135.00,Vendor 008,Vendor 008,Over NTE,6/25/2025,YES,Match,Match,326.38,Manager 03
100457,Client A,Invoiced,1_Completed_Paid,TX,Plumbing,Plumbing General,Urgent - 24-48 hours,284.16,194.00,284.16,187.50,0.00,194.00,Vendor 023,Vendor 023,Under NTE,6/16/2025,YES,Match,Match,90.16,Manager 03
100462,Client A,Invoiced,1_Completed_Paid,IL,Splash Pads,Splash Pad Maintenance,Normal - 30 days ,340.00,277.20,340.00,260.00,0.00,277.20,Vendor 005,Vendor 005,Under NTE,6/16/2025,YES,Match,Match,62.80,Manager 03
100464,Client A,Invoiced,1_Completed_Paid,IL,Plumbing,Faucet Repairs,Urgent - 24-48 hours,430.30,308.00,430.30,220.00,113.00,308.00,Vendor 012,Vendor 012,Under NTE,6/16/2025,YES,Match,Match,122.30,Manager 03
100470,Client A,Invoiced,1_Completed_Paid,TX,"Doors, Frames & Hardware",Door Closers ,Urgent - 24-48 hours,158.39,45.00,158.39,115.00,0.00,45.00,Vendor 022,Vendor 022,Under NTE,6/16/2025,YES,Match,Match,113.39,Manager 03
100473,Client A,Invoiced,1_Completed_Paid,IL,Electrician,Outlet Broken,Urgent - 24-48 hours,250.00,210.00,250.00,220.00,6.50,215.00,Vendor 012,Vendor 012,Under NTE,6/16/2025,YES,Match,Different,35.00,Manager 03
100478,Client A,Invoiced,1_Completed_Paid,IL,Splash Pads,Splash Pads General,Urgent - 24-48 hours,250.00,200.40,250.00,250.00,0.00,200.40,Vendor 005,Vendor 005,Under NTE,6/16/2025,YES,Match,Match,49.60,Manager 03
100481,Client A,Invoiced,1_Completed_Paid,TX,"Doors, Frames & Hardware",Automatic Doors,Normal - 30 days ,81.19,45.00,81.19,75.00,0.00,45.00,Vendor 022,Vendor 022,Under NTE,6/16/2025,YES,Match,Match,36.19,Manager 03
100486,Client B,Complete No Charge,1_Completed_Paid,AL,Electrician,Power Outage,Priority 1 - 4 hours,1000.00,0.00,0.00,0.00,0.00,,,,Under NTE,,NO,Different,Match,,Manager 05
100498,Client A,Complete No Charge,1_Completed_Paid,TX,HVAC,HVAC General,Normal - 30 days ,400.00,0.00,0.00,0.00,0.00,,Vendor 017,Vendor 017,Under NTE,,NO,Different,Match,,Manager 03
100504,Client B,Invoiced,1_Completed_Paid,AL,Plumbing,Plumbing General,Priority 1 - 4 hours,37518.50,35865.00,37518.50,19332.50,17996.00,35865.00,Vendor 024,Vendor 024,Over NTE,9/22/2025,YES,Match,Match,1653.50,Manager 05
100512,Client A,Invoiced,1_Completed_Paid,IL,Plumbing,Toilet Repair,Normal - 30 days ,726.00,540.00,726.00,440.00,286.00,540.00,Vendor 012,Vendor 012,Under NTE,6/25/2025,YES,Match,Match,186.00,Manager 03
100523,Client A,Invoiced,1_Completed_Paid,IL,Plumbing,Sink Repair,Normal - 30 days ,390.75,327.00,390.75,373.75,17.00,327.00,Vendor 012,Vendor 012,Under NTE,6/22/2025,YES,Match,Match,63.75,Manager 03
100525,Client B,Complete No Charge,1_Completed_Paid,TX,Misc Site Work,Exterior Site Work,Priority 2 - 24 hours,1000.00,0.00,0.00,0.00,0.00,,Vendor 025,Vendor 025,Under NTE,,NO,Different,Match,,Manager 04
100531,Client A,Invoiced,1_Completed_Paid,IL,Electrician,Lighting General,Normal - 30 days ,1310.00,705.00,1310.00,810.00,320.00,705.00,Vendor 012,Vendor 012,Over NTE,6/29/2025,YES,Match,Match,605.00,Manager 03
100532,Client A,Invoiced,1_Completed_Paid,IL,Plumbing,Toilet Repair,Normal - 30 days ,276.75,225.00,276.75,258.75,18.00,225.00,Vendor 012,Vendor 012,Under NTE,6/22/2025,YES,Match,Match,51.75,Manager 03
100566,Client B,Invoiced,1_Completed_Paid,CA,Applicances,Coffee Machines,Priority 2 - 24 hours,965.00,705.00,965.00,475.00,0.00,705.00,Vendor 014,Vendor 014,Under NTE,6/20/2025,YES,Match,Match,260.00,Manager 04
100581,Client A,Invoiced,1_Completed_Paid,VA,Misc Site Work,Interior Misc Site Work,Normal - 30 days ,3640.00,3250.00,3640.00,3640.00,0.00,3250.00,Vendor 026,Vendor 026,Over NTE,6/30/2025,YES,Match,Match,390.00,Manager_Unknown
100585,Client A,Invoiced,1_Completed_Paid,TX,Splash Pads,Splash Pad Maintenance,Normal - 30 days ,660.01,535.00,660.01,609.71,0.00,535.00,Vendor 027,Vendor 027,Under NTE,6/30/2025,YES,Match,Match,125.01,Manager_Unknown
100586,Client B,Complete No Charge,1_Completed_Paid,TX,Plumbing,Plumbing General,Priority 2 - 24 hours,2000.00,0.00,0.00,0.00,0.00,,Vendor 028,Vendor 028,Under NTE,,NO,Different,Match,,Manager 04
100587,Client A,Invoiced,1_Completed_Paid,IL,Fences and Gates,Fence and Gates General,Normal - 30 days ,245.00,218.00,245.00,230.00,15.00,218.00,Vendor 012,Vendor 012,Under NTE,6/29/2025,YES,Match,Match,27.00,Manager 03
100588,Client A,Invoiced,1_Completed_Paid,IL,Electrician,Outlet Broken,Normal - 30 days ,249.75,210.00,249.75,249.75,0.00,210.00,Vendor 012,Vendor 012,Under NTE,6/29/2025,YES,Match,Match,39.75,Manager 03
100589,Client A,Invoiced,1_Completed_Paid,IL,Electrician,Electrical Misc,Normal - 30 days ,236.00,210.00,236.00,230.00,6.00,210.00,Vendor 012,Vendor 012,Under NTE,6/29/2025,YES,Match,Match,26.00,Manager 03
100593,Client B,Complete No Charge,1_Completed_Paid,TX,Surveying/Staking,Surveying,Priority 3 - 48 hours,2000.00,0.00,0.00,0.00,0.00,,Vendor 028,Vendor 028,Under NTE,,NO,Different,Match,,Manager 04
100598,Client B,Complete No Charge,1_Completed_Paid,OK,Parking Lot,Concrete Fill,Priority 4 - 30 days,0.00,0.00,0.00,0.00,0.00,,Vendor 020,Vendor 020,Under NTE,,NO,Match,Match,,Manager 04
100599,Client B,Invoiced,1_Completed_Paid,CA,Applicances,Food Equipment,Priority 1 - 4 hours,912.50,800.00,912.50,522.50,0.00,800.00,Vendor 014,Vendor 014,Under NTE,6/24/2025,YES,Match,Match,112.50,Manager 08
100610,Client B,Complete No Charge,1_Completed_Paid,TX,Applicances,Ice Machines,Priority 1 - 4 hours,1000.00,0.00,0.00,0.00,0.00,,Vendor 014,Vendor 014,Under NTE,,NO,Different,Match,,Manager 04
100636,Client B,Complete No Charge,1_Completed_Paid,TX,HVAC,HVAC Repairs,Priority 1 - 4 hours,389.70,0.00,389.70,0.00,0.00,0.00,Vendor 029,Vendor 029,Under NTE,,YES,Match,Match,389.70,Manager 04
100652,Client B,Invoiced,1_Completed_Paid,LA,Plumbing,Plumbing General,Priority 3 - 48 hours,3925.00,3400.00,3925.00,1900.00,0.00,3400.00,Vendor 030,Vendor 030,Over NTE,6/24/2025,YES,Match,Match,525.00,Manager 04
100653,Client B,Invoiced,1_Completed_Paid,CA,Applicances,Food Equipment,Priority 2 - 24 hours,475.00,290.00,475.00,285.00,0.00,290.00,Vendor 031,Vendor 031,Under NTE,7/1/2025,YES,Match,Match,185.00,Manager 05
100661,Client B,Invoiced,1_Completed_Paid,CA,Applicances,Refrigerators,Priority 4 - 30 days,476.27,386.90,476.27,285.00,96.27,386.90,Vendor 031,Vendor 031,Under NTE,6/30/2025,YES,Match,Match,89.37,Manager 05
100666,Client A,Complete No Charge,1_Completed_Paid,TX,Playground Repairs,Playground General,Urgent - 24-48 hours,150.00,0.00,0.00,0.00,0.00,,,,Under NTE,,NO,Different,Match,,Manager 03
100670,Client A,Complete No Charge,1_Completed_Paid,TX,Misc Site Work,Interior Misc Site Work,Normal - 30 days ,0.00,0.00,0.00,0.00,0.00,,,,Under NTE,,NO,Match,Match,,Manager 03
100671,Client A,Invoiced,1_Completed_Paid,TX,HVAC,HVAC General,Urgent - 24-48 hours,1212.40,853.02,1212.40,690.00,350.00,853.02,Vendor 017,Vendor 017,Over NTE,7/7/2025,YES,Match,Match,359.38,Manager 03
100674,Client A,Invoiced,1_Completed_Paid,IL,Electrician,Electrical Signage,Normal - 30 days ,555.00,440.00,555.00,420.00,135.00,440.00,Vendor 012,Vendor 012,Under NTE,7/13/2025,YES,Match,Match,115.00,Manager 03
100680,Client A,Complete No Charge,1_Completed_Paid,TX,Splash Pads,Splash Pads General,Normal - 30 days ,500.00,0.00,0.00,0.00,0.00,,Vendor 028,Vendor 028,Under NTE,,NO,Different,Match,,Manager 03
100685,Client B,Invoiced,1_Completed_Paid,TN,Plumbing,Plumbing General,Priority 2 - 24 hours,23751.63,15110.00,23751.63,17255.00,5026.63,15110.00,Vendor 032,Vendor 032,Over NTE,7/1/2025,YES,Match,Match,8641.63,Manager 05
100763,Client B,Declined,5_Rejected_Cancelled,CA,Handyman,Handyman General,Priority 4 - 30 days,1000.00,250.00,187.50,112.50,0.00,,Vendor 013,Vendor 013,Under NTE,,NO,Different,Different,,Manager 05
100767,Client A,Invoiced,1_Completed_Paid,IL,Ceiling Tile Repairs,Ceiling Tile Replacement,Urgent - 24-48 hours,299.50,240.00,299.50,262.50,37.00,240.00,Vendor 012,Vendor 012,Under NTE,7/13/2025,YES,Match,Match,59.50,Manager 03
100769,Client A,Invoiced,1_Completed_Paid,IL,Fences and Gates,Fence and Gates General,Urgent - 24-48 hours,315.00,210.00,315.00,315.00,0.00,210.00,Vendor 012,Vendor 012,Under NTE,7/13/2025,YES,Match,Match,105.00,Manager 03
100786,Client B,Invoiced,1_Completed_Paid,CA,Applicances,Food Equipment,Priority 1 - 4 hours,575.00,430.00,575.00,255.00,0.00,430.00,Vendor 031,Vendor 031,Under NTE,7/8/2025,YES,Match,Match,145.00,Manager 05
100789,Client B,Invoiced,1_Completed_Paid,CA,"Doors, Frames & Hardware",Door Closers ,Priority 1 - 4 hours,1931.84,1644.40,1931.84,902.50,566.84,1644.40,Vendor 033,Vendor 033,Over NTE,7/16/2025,YES,Match,Match,287.44,Manager 08
100802,Client A,Invoiced,1_Completed_Paid,IL,"Doors, Frames & Hardware",Door Hardware,Urgent - 24-48 hours,324.39,234.00,324.39,287.50,36.89,234.00,Vendor 012,Vendor 012,Under NTE,7/15/2025,YES,Match,Match,90.39,Manager 03
100803,Client A,Invoiced,1_Completed_Paid,IL,Plumbing,Clogged Toilet,Urgent - 24-48 hours,248.00,210.00,248.00,230.00,18.00,210.00,Vendor 012,Vendor 012,Under NTE,7/16/2025,YES,Match,Match,38.00,Manager 03
100809,Client A,Invoiced,1_Completed_Paid,IL,Electrician,Lighting General,Normal - 30 days ,241.00,219.00,241.00,230.00,11.00,219.00,Vendor 012,Vendor 012,Under NTE,7/14/2025,YES,Match,Match,22.00,Manager 03
100811,Client A,Invoiced,1_Completed_Paid,TX,Plumbing,Sink Repair,Urgent - 24-48 hours,920.13,637.00,920.13,345.00,345.00,637.00,Vendor 022,Vendor 022,Under NTE,7/16/2025,YES,Match,Match,283.13,Manager 03
100812,Client A,Invoiced,1_Completed_Paid,IL,Fences and Gates,Fence and Gates General,Emergency - 2 hours,230.00,210.00,230.00,230.00,0.00,210.00,Vendor 012,Vendor 012,Under NTE,7/15/2025,YES,Match,Match,20.00,Manager 03
100816,Client B,Complete No Charge,1_Completed_Paid,TX,Electrician,Power Outage,Priority 3 - 48 hours,428.67,322.50,428.67,297.00,0.00,322.50,Vendor 034,Vendor 034,Under NTE,,YES,Match,Match,106.17,Manager 09
100841,Client A,Invoiced,1_Completed_Paid,TX,Painting,Painting General,Normal - 30 days ,2765.79,1945.00,2765.79,2090.00,375.00,1945.00,Vendor 022,Vendor 022,Over NTE,8/25/2025,YES,Match,Match,820.79,Manager 03
100858,Client A,Invoiced,1_Completed_Paid,IL,"Doors, Frames & Hardware",Door Closers ,Normal - 30 days ,270.75,212.00,270.75,258.75,12.00,212.00,Vendor 012,Vendor 012,Under NTE,7/20/2025,YES,Match,Match,58.75,Manager 03
100859,Client A,Invoiced,1_Completed_Paid,IL,"Doors, Frames & Hardware",Door Closers ,Urgent - 24-48 hours,258.75,200.00,258.75,258.75,0.00,200.00,Vendor 012,Vendor 012,Under NTE,7/20/2025,YES,Match,Match,58.75,Manager 03
100860,Client A,Invoiced,1_Completed_Paid,IL,"Doors, Frames & Hardware",Door Closers ,Urgent - 24-48 hours,154.75,123.00,154.75,143.75,11.00,123.00,Vendor 012,Vendor 012,Under NTE,7/20/2025,YES,Match,Match,31.75,Manager 03
